timestamp,sensor_uuid,hex,label
1753036769.376315,0000fee1-0000-1000-8000-00805f9b34fb,1f0000190000010000,walk
1753036769.377310,0000fea1-0000-1000-8000-00805f9b34fb,011f0000,walk
1753036770.352646,0000fea1-0000-1000-8000-00805f9b34fb,01200000,walk
1753036770.356748,0000fee1-0000-1000-8000-00805f9b34fb,2000001a0000010000,walk
1753036771.327729,0000fea1-0000-1000-8000-00805f9b34fb,01210000,walk
1753036771.328655,0000fee1-0000-1000-8000-00805f9b34fb,2100001b0000010000,walk
1753036772.497862,0000fee1-0000-1000-8000-00805f9b34fb,2200001c0000010000,walk
1753036772.498860,0000fea1-0000-1000-8000-00805f9b34fb,01220000,walk
1753036773.472681,0000fee1-0000-1000-8000-00805f9b34fb,2300001d0000010000,walk
1753036773.474612,0000fea1-0000-1000-8000-00805f9b34fb,01230000,walk
1753036773.862108,0000fea1-0000-1000-8000-00805f9b34fb,01240000,walk
1753036773.864211,0000fee1-0000-1000-8000-00805f9b34fb,2400001d0000010000,walk
1753036774.447226,0000fee1-0000-1000-8000-00805f9b34fb,2500001e0000010000,walk
1753036774.448220,0000fea1-0000-1000-8000-00805f9b34fb,01250000,walk
1753036774.835909,0000fee1-0000-1000-8000-00805f9b34fb,2600001f0000010000,walk
1753036774.835909,0000fea1-0000-1000-8000-00805f9b34fb,01260000,walk
1753036776.009480,0000fee1-0000-1000-8000-00805f9b34fb,270000200000010000,walk
1753036776.011477,0000fea1-0000-1000-8000-00805f9b34fb,01270000,walk
1753036776.397253,0000fee1-0000-1000-8000-00805f9b34fb,280000210000010000,walk
1753036776.398356,0000fea1-0000-1000-8000-00805f9b34fb,01280000,walk
1753036777.371461,0000fee1-0000-1000-8000-00805f9b34fb,290000220000020000,walk
1753036777.372463,0000fea1-0000-1000-8000-00805f9b34fb,01290000,walk
1753036777.958945,0000fee1-0000-1000-8000-00805f9b34fb,2a0000220000020000,walk
1753036777.959948,0000fea1-0000-1000-8000-00805f9b34fb,012a0000,walk
1753036778.931097,0000fee1-0000-1000-8000-00805f9b34fb,2b0000230000020000,walk
1753036778.932105,0000fea1-0000-1000-8000-00805f9b34fb,012b0000,walk
1753036779.324028,0000fee1-0000-1000-8000-00805f9b34fb,2c0000240000020000,walk
1753036779.517414,0000fea1-0000-1000-8000-00805f9b34fb,012c0000,walk
1753036779.907784,0000fee1-0000-1000-8000-00805f9b34fb,2d0000250000020000,walk
1753036779.908802,0000fea1-0000-1000-8000-00805f9b34fb,012d0000,walk
1753036780.492131,0000fea1-0000-1000-8000-00805f9b34fb,012e0000,walk
1753036780.493130,0000fee1-0000-1000-8000-00805f9b34fb,2e0000260000020000,walk
1753036781.468252,0000fee1-0000-1000-8000-00805f9b34fb,2f0000270000020000,walk
1753036781.469248,0000fea1-0000-1000-8000-00805f9b34fb,012f0000,walk
1753036781.858008,0000fee1-0000-1000-8000-00805f9b34fb,300000270000020000,walk
1753036781.859026,0000fea1-0000-1000-8000-00805f9b34fb,01300000,walk
1753036782.832102,0000fea1-0000-1000-8000-00805f9b34fb,01310000,walk
1753036782.833142,0000fee1-0000-1000-8000-00805f9b34fb,310000280000020000,walk
1753036783.416478,0000fee1-0000-1000-8000-00805f9b34fb,320000290000020000,walk
1753036783.417482,0000fea1-0000-1000-8000-00805f9b34fb,01320000,walk
1753036784.002189,0000fea1-0000-1000-8000-00805f9b34fb,01330000,walk
1753036784.003299,0000fee1-0000-1000-8000-00805f9b34fb,3300002a0000020000,walk
1753036784.392427,0000fee1-0000-1000-8000-00805f9b34fb,3400002b0000020000,walk
1753036784.393417,0000fea1-0000-1000-8000-00805f9b34fb,01340000,walk
1753036785.367799,0000fea1-0000-1000-8000-00805f9b34fb,01350000,walk
1753036785.368683,0000fee1-0000-1000-8000-00805f9b34fb,3500002b0000020000,walk
1753036785.952128,0000fee1-0000-1000-8000-00805f9b34fb,3600002c0000020000,walk
1753036785.952128,0000fea1-0000-1000-8000-00805f9b34fb,01360000,walk
1753036786.932563,0000fee1-0000-1000-8000-00805f9b34fb,3700002d0000020000,walk
1753036786.932563,0000fea1-0000-1000-8000-00805f9b34fb,01370000,walk
1753036788.486817,0000fea1-0000-1000-8000-00805f9b34fb,01380000,walk
1753036788.487899,0000fee1-0000-1000-8000-00805f9b34fb,3800002e0000020000,walk
1753036788.877776,0000fee1-0000-1000-8000-00805f9b34fb,3900002f0000020000,walk
1753036788.877776,0000fea1-0000-1000-8000-00805f9b34fb,01390000,walk
1753036789.462925,0000fee1-0000-1000-8000-00805f9b34fb,3b0000300000020000,walk
