timestamp,sensor_uuid,value,label
1753036778.932105,0000fea1-0000-1000-8000-00805f9b34fb,11009.0,walk
1753036779.517414,0000fea1-0000-1000-8000-00805f9b34fb,11265.0,walk
1753036779.908802,0000fea1-0000-1000-8000-00805f9b34fb,11521.0,walk
1753036780.492131,0000fea1-0000-1000-8000-00805f9b34fb,11777.0,walk
1753036781.469248,0000fea1-0000-1000-8000-00805f9b34fb,12033.0,walk
1753036781.859026,0000fea1-0000-1000-8000-00805f9b34fb,12289.0,walk
1753036782.832102,0000fea1-0000-1000-8000-00805f9b34fb,12545.0,walk
1753036783.417482,0000fea1-0000-1000-8000-00805f9b34fb,12801.0,walk
1753036784.002189,0000fea1-0000-1000-8000-00805f9b34fb,13057.0,walk
1753036784.393417,0000fea1-0000-1000-8000-00805f9b34fb,13313.0,walk
1753036785.367799,0000fea1-0000-1000-8000-00805f9b34fb,13569.0,walk
1753036785.952128,0000fea1-0000-1000-8000-00805f9b34fb,13825.0,walk
1753036786.932563,0000fea1-0000-1000-8000-00805f9b34fb,14081.0,walk
1753036788.486817,0000fea1-0000-1000-8000-00805f9b34fb,14337.0,walk
1753036788.877776,0000fea1-0000-1000-8000-00805f9b34fb,14593.0,walk
1753036789.464923,0000fea1-0000-1000-8000-00805f9b34fb,15105.0,walk
1753036791.021999,0000fea1-0000-1000-8000-00805f9b34fb,15617.0,walk
1753036792.192098,0000fea1-0000-1000-8000-00805f9b34fb,16129.0,walk
1753036793.363564,0000fea1-0000-1000-8000-00805f9b34fb,16385.0,walk
1753036793.947053,0000fea1-0000-1000-8000-00805f9b34fb,16641.0,walk
1753036795.118433,0000fea1-0000-1000-8000-00805f9b34fb,17153.0,walk
1753036795.897384,0000fea1-0000-1000-8000-00805f9b34fb,17409.0,walk
1753036798.043367,0000fea1-0000-1000-8000-00805f9b34fb,17665.0,walk
1753036798.431947,0000fea1-0000-1000-8000-00805f9b34fb,17921.0,walk
1753036799.409374,0000fea1-0000-1000-8000-00805f9b34fb,18433.0,walk
1753036799.994323,0000fea1-0000-1000-8000-00805f9b34fb,18689.0,walk
1753036800.381046,0000fea1-0000-1000-8000-00805f9b34fb,18945.0,walk
1753036800.968818,0000fea1-0000-1000-8000-00805f9b34fb,19201.0,walk
1753036802.332592,0000fea1-0000-1000-8000-00805f9b34fb,19457.0,walk
1753036802.919278,0000fea1-0000-1000-8000-00805f9b34fb,19713.0,walk
1753036803.89212,0000fea1-0000-1000-8000-00805f9b34fb,20225.0,walk
1753036804.47921,0000fea1-0000-1000-8000-00805f9b34fb,20481.0,walk
1753036804.866435,0000fea1-0000-1000-8000-00805f9b34fb,20737.0,walk
1753036807.012382,0000fea1-0000-1000-8000-00805f9b34fb,21249.0,walk
1753036807.596654,0000fea1-0000-1000-8000-00805f9b34fb,21505.0,walk
1753036808.376976,0000fea1-0000-1000-8000-00805f9b34fb,22017.0,walk
1753036808.962821,0000fea1-0000-1000-8000-00805f9b34fb,22273.0,walk
1753036809.547727,0000fea1-0000-1000-8000-00805f9b34fb,22529.0,walk
